City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
43,Chuy,UY,-33.6971,-53.4616,80.55,53,0,7.9,clear sky
44,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,90,6.91,overcast clouds
45,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,10.36,broken clouds
46,Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,12.66,scattered clouds
47,Avarua,CK,-21.2078,-159.775,77.05,65,82,11.5,broken clouds
48,Cariati,IT,39.4922,16.9594,64.27,70,100,5.46,overcast clouds
49,Dikson,RU,73.5069,80.5464,13.48,85,100,10.31,overcast clouds
50,Cidreira,BR,-30.1811,-50.2056,75.09,59,0,9.06,clear sky
51,Asau,RO,46.4333,26.4,41.92,55,0,4.88,clear sky
52,Busselton,AU,-33.65,115.3333,48.04,91,100,7.34,overcast clouds
53,Narni,IT,42.5171,12.5231,60.17,78,99,3.27,overcast clouds
54,Arlit,NE,18.7369,7.3853,88.92,11,0,7.38,clear sky
55,Atuona,PF,-9.8,-139.0333,77.34,67,6,14.92,clear sky
56,Nome,US,64.5011,-165.4064,24.87,74,90,5.75,light snow
57,Ola,RU,59.5833,151.2833,23.0,79,29,7.14,scattered clouds
58,Nikolskoye,RU,59.7035,30.7861,45.88,89,100,7.29,light rain
59,Ballina,AU,-28.8667,153.5667,67.96,96,90,3.44,overcast clouds
60,North Bend,US,43.4065,-124.2243,61.25,95,90,21.85,mist
61,Alofi,NU,-19.0595,-169.9187,76.89,78,75,13.8,broken clouds
62,Jamestown,US,42.097,-79.2353,44.71,99,90,8.01,light rain
63,Guarapari,BR,-20.6667,-40.4975,76.89,90,74,5.59,broken clouds
64,Rocha,UY,-34.4833,-54.3333,81.61,56,0,9.31,clear sky
65,Barrow,US,71.2906,-156.7887,24.82,86,90,5.75,overcast clouds
66,Barranca,PE,-10.75,-77.7667,66.67,72,87,9.78,overcast clouds
67,Waipawa,NZ,-41.4122,175.5153,56.03,72,100,9.82,overcast clouds
68,Yaan,NG,7.3833,8.5667,76.3,87,22,4.45,few clouds
69,Luderitz,NA,-26.6481,15.1594,58.55,93,2,1.99,clear sky
70,Bluff,NZ,-46.6,168.3333,52.18,92,95,1.97,overcast clouds
71,Vaini,TO,-21.2,-175.2,73.56,83,40,10.36,scattered clouds
72,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,18.41,few clouds
73,Thompson,CA,55.7435,-97.8558,35.76,93,90,6.91,overcast clouds
74,Guerrero Negro,MX,27.9769,-114.0611,69.98,50,0,22.5,clear sky
75,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.79,57,1,6.91,clear sky
76,Amparafaravola,MG,-17.5833,48.2167,62.01,88,0,3.91,clear sky
77,Coquimbo,CL,-29.9533,-71.3436,62.33,72,75,12.66,broken clouds
78,Lebu,CL,-37.6167,-73.65,56.37,74,0,17.6,clear sky
79,Kunda,IN,25.7167,81.5167,70.0,59,0,5.86,clear sky
80,Iberia,US,29.9502,-91.7507,84.97,60,76,6.29,broken clouds
81,Hithadhoo,MV,-0.6,73.0833,83.12,73,100,18.21,overcast clouds
82,Kibuye,RW,-2.0597,29.3482,67.96,74,81,2.46,broken clouds
83,Albany,US,42.6001,-73.9662,56.62,94,100,1.01,moderate rain
84,Torbay,CA,47.6666,-52.7314,43.57,75,75,6.91,broken clouds
85,Yellowknife,CA,62.456,-114.3525,38.41,100,90,4.61,mist
86,Butaritari,KI,3.0707,172.7902,82.47,75,44,12.3,scattered clouds
87,Aswan,EG,24.0934,32.907,83.5,28,0,6.91,clear sky
88,Santa Cruz De La Palma,ES,28.6835,-17.7642,71.74,64,40,12.66,scattered clouds
89,Cape Town,ZA,-33.9258,18.4232,71.28,61,0,4.0,clear sky
