City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Anito,PH,78.3,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
372,Axim,GH,78.1,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
374,Wukari,NG,78.62,overcast clouds,7.85,9.7833,
377,Kidal,ML,88.14,broken clouds,18.4411,1.4078,
381,Kokopo,PG,76.37,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
385,Talca,CL,83.16,clear sky,-35.4333,-71.6667,Casa de Huespedes Marbargla
387,Trairi,BR,81.82,clear sky,-3.2778,-39.2689,janelas do mar
389,Amahai,ID,78.17,broken clouds,-3.3333,128.9167,HOTEL ISABELA
393,Ewa Beach,US,82.35,clear sky,21.3156,-158.0072,Uncle Junior Robert
395,San Felipe,VE,81.81,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
397,Sao Cristovao,BR,84.11,scattered clouds,-11.0147,-37.2064,Vó Nazinha Hostel
399,Takoradi,GH,77.74,overcast clouds,4.8845,-1.7554,Raybow International Hotel
400,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
407,Matara,LK,75.87,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
411,Iracoubo,GF,81.82,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
412,Doka,SD,78.8,scattered clouds,13.5167,35.7667,
422,Omboue,GA,76.64,broken clouds,-1.5746,9.2618,Hotel Olako
426,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
434,Quebo,GW,76.77,overcast clouds,11.3333,-14.9333,
437,Sola,VU,80.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
441,Mana,GF,81.9,moderate rain,5.6592,-53.7767,LE SAMANA
443,Jangipur,IN,76.1,overcast clouds,24.4667,88.0667,"KICHU KHON LODGE ,কিছুক্ষন লজ ,SAHEBBAZAR"
448,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
449,Sabla,NG,87.13,few clouds,12.7525,4.7077,
455,Cacu,BR,82.56,overcast clouds,-18.5567,-51.1308,Império Hotel
456,La Victoria,VE,85.24,overcast clouds,10.2184,-67.3302,Hotel Hacienda El Recreo
457,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
458,Ocumare Del Tuy,VE,89.73,overcast clouds,10.1165,-66.7761,Lennys
459,Dingle,PH,75.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
460,New Braunfels,US,87.96,scattered clouds,29.703,-98.1245,Courtyard by Marriott New Braunfels River Village
463,Urucara,BR,89.35,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
466,Taichung,TW,76.48,scattered clouds,24.1469,120.6839,Park City Hotel Taichung Minquan
469,Rawson,AR,75.9,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
470,Tres Arroyos,AR,89.24,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
477,Puerto Escondido,MX,86.22,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
479,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
481,Beloha,MG,75.6,few clouds,-25.1667,45.05,
482,Corn Island,NI,84.0,light rain,12.1694,-83.0418,Big Fish Guest House
486,Taganak,PH,78.94,broken clouds,6.0833,118.3,Taganak
491,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
492,Key West,US,87.01,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
493,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
501,Ranong,TH,77.13,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
502,Akyab,MM,77.81,broken clouds,20.15,92.9,Hotel Memory
511,Tayu,ID,78.3,heavy intensity rain,-6.5397,111.0518,Toko pakaian bu is Tayu
515,Mayumba,GA,76.86,light rain,-3.432,10.6554,LIKWALE LODGE
523,Kutum,SD,76.95,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
532,Bonthe,SL,78.93,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
533,Tambopata,PE,82.29,broken clouds,-12.7333,-69.1833,
534,Palembang,ID,75.67,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
535,Kendari,ID,77.47,overcast clouds,-3.945,122.4989,Hotel Wixel
537,Camocim,BR,84.43,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
541,Muli,MV,81.41,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
546,Andros Town,BS,85.96,overcast clouds,24.7,-77.7667,Hanks place
552,Lahaina,US,81.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
556,Durango,MX,75.78,clear sky,24.8333,-104.8333,
563,Labuhan,ID,79.48,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
568,Acapulco,MX,84.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
570,Alyangula,AU,75.07,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
571,Sorong,ID,79.43,overcast clouds,-0.8833,131.25,waigo splash hotel
580,Domoni,KM,78.22,broken clouds,-12.2569,44.5319,Al Djadid
583,Tuy Hoa,VN,77.95,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
588,Road Town,VG,88.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
589,Santa Vitoria Do Palmar,BR,80.71,clear sky,-33.5189,-53.3681,Hostel Comodoro
591,San Vicente,AR,82.11,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
592,Pindiga,NG,79.07,broken clouds,9.9833,10.9333,Accommodation Center
595,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
600,Tanout,NE,89.11,few clouds,14.9709,8.8879,
601,Canita,PA,83.5,overcast clouds,9.2097,-78.8811,Centro recreativo y turistico el mojao
603,Pauini,BR,80.74,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
606,Pemangkat,ID,79.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
607,Kontagora,NG,80.53,scattered clouds,10.3999,5.4695,Queens Guest Inn
608,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
610,San Carlos,VE,81.3,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
611,Witu,KE,80.76,overcast clouds,-2.3889,40.4382,
618,Tamara,HN,82.15,scattered clouds,14.15,-87.3333,Villa Las Acacias
627,Luanda,AO,75.25,broken clouds,-8.8368,13.2343,Hotel Fórum
